	prodcode	productname	bnfchapter
7	64785	Paroxetine 30mg tablets (Alliance Healthcare (Distribution) Ltd)	04030300
64	2290	Fluvoxamine 100mg tablets	04030300
986	73414	Fluoxetine 20mg/5ml oral solution (Pinewood Healthcare)	04030300
1168	52824	Citalopram 10mg tablets (PLIVA Pharma Ltd)	04030300
1571	67562	Fluoxetine 40mg capsules	04030300
1797	66292	Seroxat 10mg tablets (Waymade Healthcare Plc)	04030300
1986	75697	Citalopram 10mg tablets (Phoenix Healthcare Distribution Ltd)	04030300
2479	30258	Fluoxetine 20mg/5ml oral solution (Teva UK Ltd)	04030300
2703	34288	Fluoxetine 20mg capsules (Viatris UK Healthcare Ltd)	04030300
2785	62927	Sertraline 50mg tablets (Wockhardt UK Ltd)	04030300
3022	67888	Fluoxetine 60mg capsules (Kent Pharma (UK) Ltd)	04030300
3459	3391	Dutonin 100mg tablets (Bristol-Myers Squibb Pharmaceuticals Ltd)	04030300
4580	45224	Fluoxetine 20mg capsules (Sandoz Ltd)	04030300
4680	46926	Citalopram 40mg tablets (Zentiva Pharma UK Ltd)	04030300
4689	34499	Citalopram 10mg tablets (Sandoz Ltd)	04030300
4725	26056	Cipralex 10mg/ml oral drops (Lundbeck Ltd)	04030300
4760	4770	Citalopram 40mg tablets	04030300
5296	67431	Fluoxetine 10mg capsules	04030300
5328	34413	Citalopram 10mg tablets (Zentiva Pharma UK Ltd)	04030300
5718	35021	Paroxetine 10mg tablets	04030300
6134	34966	Citalopram 20mg tablets (Teva UK Ltd)	04030300
6370	82497	Lustral 50mg tablets (Dowelhurst Ltd)	04030300
6957	79494	Fluoxetine 60mg capsules (A A H Pharmaceuticals Ltd)	04030300
8291	86037	Sertraline 25mg tablets (A A H Pharmaceuticals Ltd)	04030300
8466	69898	Sertraline 50mg tablets (Sandoz Ltd)	04030300
9079	63953	Cipramil 20mg tablets (DE Pharmaceuticals)	04030300
9104	79383	Paroxetine 30mg Tablet (Neo Laboratories Ltd)	04030300
9190	815	Cipramil 40mg/ml drops (Lundbeck Ltd)	04030300
10123	6405	Escitalopram 5mg tablets	04030300
10317	60888	Citalopram 10mg tablets (Sigma Pharmaceuticals Plc)	04030300
10796	4297	Dutonin 200mg tablets (Bristol-Myers Squibb Pharmaceuticals Ltd)	04030300
10951	34856	Fluoxetine 60mg capsules (Viatris UK Healthcare Ltd)	04030300
11486	68266	Fluoxetine 20mg/5ml oral solution sugar free (Accord Healthcare Ltd)	04030300
12003	727	Sertraline 100mg tablets	04030300
12218	69542	Prozac 20mg capsules (Necessity Supplies Ltd)	04030300
12700	44944	Sertraline 100mg tablets (Teva UK Ltd)	04030300
13100	34456	Fluoxetine 20mg capsules (Teva UK Ltd)	04030300
13271	40165	Paroxetine 30mg tablets (Accord Healthcare Ltd)	04030300
13918	78626	Sertraline 15mg/5ml oral suspension	04030300
14326	67758	Prozac 20mg capsules (DE Pharmaceuticals)	04030300
14564	54081	Sertraline 25mg/5ml oral suspension	04030300
14710	67	Citalopram 20mg tablets	04030300
14822	12123	Faverin 100mg tablets (Viatris UK Healthcare Ltd)	04030300
14913	81067	Citalopram 20mg tablets (Noumed Life Sciences Ltd)	04030300
14921	60839	Citalopram 40mg tablets (Almus Pharmaceuticals Ltd)	04030300
16246	83668	Sertraline 25mg/5ml oral suspension (Drug Tariff Special Order)	04030300
16460	32546	Paxoran 10mg Tablet (Ranbaxy (UK) Ltd)	04030300
16731	60534	Fluoxetine 20mg dispersible tablets sugar free	04030300
16878	63916	Escitalopram 10mg tablets (Actavis UK Ltd)	04030300
16894	49519	Sertraline 100mg/5ml oral suspension	04030300
17121	77538	Sertraline 50mg/5ml oral suspension (Drug Tariff Special Order)	04030300
17263	43519	Citalopram 40mg Tablet (Neo Laboratories Ltd)	04030300
