	medcode	readcode	clinicalevents	readterm
581	93878	C10E511	10	Type I diabetes mellitus with ulcer
582	42567	C103000	11	Diabetes mellitus, juvenile type, with ketoacidotic coma
583	109628	C10P011	2	Type 1 diabetes mellitus in remission
584	40682	C10E900	133	Type 1 diabetes mellitus maturity onset
585	99231	C108B11	1	Type I diabetes mellitus with mononeuropathy
586	108007	C108311	1	Type I diabetes mellitus with multiple complications
587	30323	C10EK00	764	Type 1 diabetes mellitus with persistent proteinuria
588	108360	C10P000	3	Type I diabetes mellitus in remission
589	21983	C108012	5	Type 1 diabetes mellitus with renal complications
590	66145	C10EN11	1	Type I diabetes mellitus with ketoacidotic coma
591	49146	C108211	1	Type I diabetes mellitus with neurological complications
592	47650	C10E300	47	Type 1 diabetes mellitus with multiple complications
593	31141	9OL8.00	79809	Diabetes monitor.phone invite
594	62613	C10EA11	4	Type I diabetes mellitus without complication
595	85660	66An.00	7769	Diabetes type 1 review
596	33969	C10A100	158	Malnutrition-related diabetes mellitus with ketoacidosis
597	49949	C10E411	14	Unstable type I diabetes mellitus
598	42831	C10E200	31	Type 1 diabetes mellitus with neurological complications
599	24490	C100000	3994	Diabetes mellitus, juvenile type, no mention of complication
600	111483	66o6.00	127	Diabetic on insulin and glucagon-like peptide 1
601	44033	F345000	58	Diabetic mononeuritis multiplex
602	45914	C108812	21	Type 1 diabetes mellitus - poor control
603	110400	C108F12	1	Type 1 diabetes mellitus with diabetic cataract
604	38161	C108711	20	Type I diabetes mellitus with retinopathy
605	14050	42c..00	2710	HbA1 - diabetic control
606	38617	C101y00	46	Other specified diabetes mellitus with ketoacidosis
607	61829	C108212	6	Type 1 diabetes mellitus with neurological complications
608	1682	C101.00	21693	Diabetes mellitus with ketoacidosis
609	70448	C107000	4	Diabetes mellitus, juvenile +peripheral circulatory disorder
610	39070	C10EE00	126	Type 1 diabetes mellitus with hypoglycaemic coma
611	62209	C10EM11	79	Type I diabetes mellitus with ketoacidosis
612	30294	C10EL00	648	Type 1 diabetes mellitus with persistent microalbuminuria
613	113197	C108D12	2	Type 1 diabetes mellitus with nephropathy
614	18683	C10E500	68	Type 1 diabetes mellitus with ulcer
615	42505	C101z00	585	Diabetes mellitus NOS with ketoacidosis
616	47649	C10E100	34	Type 1 diabetes mellitus with ophthalmic complications
617	62352	C108H11	1	Type I diabetes mellitus with arthropathy
618	96235	C10E911	34	Type I diabetes mellitus maturity onset
619	22871	C10EP00	97	Type 1 diabetes mellitus with exudative maculopathy
620	97474	C108412	7	Unstable type 1 diabetes mellitus
621	46850	C108811	20	Type I diabetes mellitus - poor control
622	97446	C108912	2	Type 1 diabetes mellitus maturity onset
623	55239	C10EQ00	676	Type 1 diabetes mellitus with gastroparesis
624	113863	C10ED11	1	Type I diabetes mellitus with nephropathy
625	24694	C108B00	3	Insulin dependent diabetes mellitus with mononeuropathy
