	prodcode	productname	ingredient	bnfchapter	bnftext
2715	25396	LITHIUM CHLORIDE 400 MG SOL		00000000	Unknown
4147	3359	Priadel 200mg modified-release tablets (Essential Pharma M)	Lithium carbonate	04020300	Products Used For Mania And Hypomania
12388	12402	Camcolit 250 tablets (Essential Pharma Ltd)	Lithium carbonate	04020300	Products Used For Mania And Hypomania
13142	15660	LITHIUM 10.8 MMOLS/5MLS LIQ		00000000	Unknown
13218	22018	Li-Liquid 509mg/5ml oral solution (Rosemont Pharmaceuticals Ltd)	Lithium citrate	04020300	Products Used For Mania And Hypomania
16909	8827	Lithium carbonate 300mg Modified-release tablet	Lithium Carbonate	04020300	Products Used For Mania And Hypomania
18635	13601	Lithium citrate 564mg modified-release tablets	Lithium citrate	00000000	Unknown
23101	85126	Priadel 400mg modified-release tablets (Mawdsley-Brooks & Company Ltd)	Lithium carbonate	04020300	Products Used For Mania And Hypomania
26287	8041	Lithium carbonate 250mg tablets	Lithium carbonate	04020300	Products Used For Mania And Hypomania
28273	1447	Lithium carbonate 400mg modified-release tablets	Lithium carbonate	04020300	Products Used For Mania And Hypomania
32629	65301	Lithium carbonate 250mg tablets (Essential Pharma Ltd)	Lithium carbonate	04020300	Products Used For Mania And Hypomania
33445	51401	Priadel 400mg modified-release tablets (Necessity Supplies Ltd)	Lithium carbonate	04020300	Products Used For Mania And Hypomania
35733	14954	Lithium carbonate 450mg modified-release tablets	Lithium carbonate	04020300	Products Used For Mania And Hypomania
37277	25344	Lithium carbonate 400mg Modified-release tablet (Approved Prescription Services Ltd)	Lithium carbonate	04020300	Products Used For Mania And Hypomania
37545	65296	Lithium carbonate 250mg tablets (A A H Pharmaceuticals Ltd)	Lithium carbonate	04020300	Products Used For Mania And Hypomania
37955	75360	Lithium chloride 1.5mmol/10ml solution for injection ampoules	Lithium chloride	64110000	Cardiac Stress Test
40811	872	Priadel 400mg modified-release tablets (Essential Pharma M)	Lithium carbonate	04020300	Products Used For Mania And Hypomania
40813	65838	Lithium carbonate 400mg modified-release tablets (DE Pharmaceuticals)	Lithium carbonate	04020300	Products Used For Mania And Hypomania
42342	56435	Lithium carbonate 200mg/5ml oral suspension	Lithium carbonate	04020300	Products Used For Mania And Hypomania
46222	56427	Lithium citrate 509mg/5ml oral solution (Cubic Pharmaceuticals Ltd)	Lithium citrate	04020300	Products Used For Mania And Hypomania
47417	10937	Lithium citrate 509mg/5ml oral solution	Lithium citrate	04020300	Products Used For Mania And Hypomania
50205	10809	Priadel 520mg/5ml liquid (Essential Pharma M)	Lithium citrate	04020300	Products Used For Mania And Hypomania
53099	66248	Lithium carbonate 400mg modified-release tablets (Ennogen Healthcare Ltd)	Lithium carbonate	04020300	Products Used For Mania And Hypomania
55471	10292	LITHIUM 250 MG CAP		00000000	Unknown
62832	12648	Lithium citrate 1.018g/5ml oral solution	Lithium citrate	04020300	Products Used For Mania And Hypomania
65693	53459	Priadel 400mg modified-release tablets (DE Pharmaceuticals)	Lithium carbonate	04020300	Products Used For Mania And Hypomania
69691	63989	Lithium carbonate 400mg modified-release tablets (Niche Pharma Ltd)	Lithium carbonate	04020300	Products Used For Mania And Hypomania
73238	760	Lithium carbonate 200mg modified-release tablets	Lithium carbonate	04020300	Products Used For Mania And Hypomania
73587	3352	Liskonum 450mg modified-release tablets (Teofarma S.r.l.)	Lithium carbonate	04020300	Products Used For Mania And Hypomania
74307	11491	Lithium citrate 520mg/5ml oral solution sugar free	Lithium citrate	04020300	Products Used For Mania And Hypomania
75882	12403	Camcolit 400 modified-release tablets (Essential Pharma Ltd)	Lithium carbonate	04020300	Products Used For Mania And Hypomania
80776	3358	PRIADEL 800 MG TAB		00000000	Unknown
81944	68292	Lithium carbonate 400mg modified-release tablets (AM Distributions (Yorkshire) Ltd)	Lithium carbonate	04020300	Products Used For Mania And Hypomania
82956	25345	Li-Liquid 1.018g/5ml oral solution (Rosemont Pharmaceuticals Ltd)	Lithium citrate	04020300	Products Used For Mania And Hypomania
